content,score,sentiment
baik,1,0
saya mau daftar m bca gagal terus padahal pulsa udh ada nomer sesuai sama yg didaftarkan,1,0
oke,5,2
oke,5,2
baik,5,2
tumben diinstal sedang tidak bisa apakah gangguan server atau lainya pdahal biasanya sat set,3,1
menyenangkan trimakasih bca,5,2
saya udah download pas klik menu muncul persyaratan yg harus di setujui  pas mau kasih centang  ga bisa  mungkin harus kasih centong kali yah biar bisa,2,0
sangat membantu di saat sulit,5,2
app bca memang terbaik tidak ribet dan pelayanan di setiap kantor di mana pun semuanya sangat baik dan ramah tingkat kan terus kinerja yang baik nya kalau bisa  ktp bisa memiliki lebih dari  kartu rekening karena saya sangat suka dengan kinerja bank sentral asia anda oke itu aja sekian dan terimakasih ,5,2
tanggal  kemarin saya transfer uang  ke ovo saldo bca berkurang tapi saldo di ovo tidak masuk ,1,0
mantap,5,2
good,5,2
aaa ini gem seru banget aku suka mabar sih sama temen aku yaitu sesuatu,5,2
ini gimna bca saya tidak bisa login awalnya tidak bisa transfer lalu face close sendiri di update ke versi terbaru sama sekara tidak bisa masuk makin sini kok makin kesana ini aplikasi  tolong di erbaiki lagi lebih lanjut dan lebih cepat it nya suruh benerin aplikasinya,1,0
jelek buang pulsa,1,0
fitur simple mudah di mudahkan,5,2
oy  saya mau login  kode akses nya mana ga dikirim kirim ,1,0
kenapa mau masuk harus peripikasi lagi masukan no atm lg kan tinggal login klw sudah daftar dasar apk gk bermutu,1,0
sangat membatu dan mudah dalam melakukan transaksi saya,5,2
bagus mudah tidak pernah ada gangguan,5,2
bagus dan membantu sekali dalam perbankan,5,2
setiap saya ingin membuka mbca saya selalu error  padahal saya gapernah otak atik simcard,1,0
saya ingin sampaikan klo ada pembaruan utu mbca tlg di perhatikan disabilitas khusus nya tunanetra baik android persi terbaru mau pun persi android persi  krn di hp android samsung saya mbca tdk bisa masuk apa lagi buat transaksi semoga ada solusi dr it bca terimakasih,1,0
gelo bulan ini gue bayar admin dah k,1,0
keren manfaatnya banyak,5,2
good,4,2
crash autoclose at first time open  useless app after automatic update my network is absolutely good both at home  office deactivating accesibility is technically fool  not wise since im a programmer as well,1,0
sangat bagus,5,2
bagus,4,2
tolong di perbaiki lagi bila bisa indikatornya di hilangkan saja bikin sebel  sudah bolak balik login indikator susah berwarna hijau  nyampe pulsa saya habis ribu buat mengulang ke login di awal,1,0
gampang sih makey bisa tf sama bayar lebih gampang cardless juga tapi kalo ganti hp kenapa ilang semua resi transaksiy alias inboxy t_t gk ada kirim ke email juga push notif mesti ke kc bayar pula yg sebelah aman loh saya ganti hp notif ke email jg gratis plis banged dibenerin ya,4,2
kenapa sekarang tiap beli token listrik sudah tidak ada lagi keterangan berapa kwh nyapadahal itu sangat penting untuk informasi konsumenapa bisa ditampilkan lagitoh kita sudah di kenakan biaya tambahan tapi keterangan dan fitur makin kesini makin dikurang kurangi payah,1,0
saldo saya gapernah sampai  digit min,5,2
mantap jiwa untuk bca,4,2
not comfort using this aplication often error  often blocked my access sometime due to system slowbad network it more comfort using ebanking from another bank such as  mandiri  cimb,2,0
kasih ranting bintang  walaupun bca mobile tidak bisa digunakan,5,2
kenapa min saya kok sering aktivasi kalok masuk ke app bca mobile ini saya lagi aktivasi lagi min tapi kode nya enggak terkirim min solusinya min gimana padahal udah isi pls buat sms mohon cepat di jawab min,4,2
verifikasi muka nya benerin woi  merah terus gak bisa login nih ,1,0
layanan cepat dan akurat,5,2
keep crashing on startup even after force stop clear data and even after disabling accessibility features the app appears for a brief moment i tried everything suggested but it doesnt work reinstalling doesnt help either version  even after a few days edit apparently this can only be fixed by disabling all apps that uses accessibility feature even necessary apps which would be great but not i am forced to reauthenticate in the app ill give  star rating once its fixed,5,2
wew update mencret nih,2,0
sukses selalu bca,5,2
makin updet makin ribst,2,0
parah qris gagal tapi saldo kepotongsampe saat ini saldo belum kembalibukan masalah nominal bungmakin sini makin lawak,1,0
an habis diupdate malah error gajelas di coba buka malah hp yg jadi lag force closes mulu gmn mau makenya coba asli ganggu bgt buat pekerjaan a s mending buka rekening ke bank sebelah aja dah,1,0
sangat membantu,5,2
bca ok ok ok apa lg klu pengurusan nya bgssaya suka bca,5,2
sangat membantu,5,2
oke,5,2
ok,5,2
sangat mendukung aituasi,5,2
suruh masukin nomer kartu mulu ribet parah kalo verifikasi pakek wa biar mempermudah  harus beli pulsa nga cuma buat verifikasi sesat memang,1,0
membantu,5,2
oke baguss,5,2
saya susah amat kode otp masuk nya,5,2
bank transfer are frequently error really annoying,1,0
terimakasih,5,2
too many traffic light,1,0
aplikasi yang sangat bagus,5,2
sangat sangat perlu,5,2
saya pernah kerja juga di warung nasisatu tahunpernah jualan juga di rumahjualan keliling jugamenyimpan dagangan saya di pasar juga,3,1
ok,5,2
good,4,2
kok makin susah ya transaksinya makin hari makin lelet aplikasinya,3,1
ok,5,2
aplikasi makin kesini makin ribet,1,0
ok,5,2
tidak bisa hapus inbox,1,0
sebentar disuruh up date sangat gk penting ribet,1,0
nomor udah sesuai password udah sesuaitetep gak bisa masuk,2,0
kenapa saya tidak bisa instal aplikasi mobile banking bca,5,2
mantaap sangat membantu,5,2
saat kita verifikasi data selfie sangat susah tolong dong mudahkan nasabah,1,0
hp baru direset pabrik saat mau login lagi perlu kode otp pakai pulsa pulsa sudah habis rb tapi kode otp nya ga muncul,1,0
setelah di update kenapa jadi susah buka mbca nya padahal saya sudah verifikasi tetep saja tidak bisa diproses  tolong diperbaiki sistemnya,3,1
paling keren topp bca,5,2
jaringan lemot saat mendownload aplikasi mbanking bca,5,2
ahh sangat kurang memuaskan,1,0
sangat bagus,5,2
,5,2
pas registrasi nomor hp selalu saja transaksi tidak diproses coba lagi nanti ini udah  tahun gua gak bisa registrasi nomor gua ke bca mobile,1,0
edit  nov  app sudah berjalan normal tanpa mematikan aksesibilitas bagus lain kali ditest dulu appnya sebelum dipublish makasih  nov  di hp saya samsung masih ga bisa diakses alias force close sendiri walaupun aksesibilitas off ga guna developer magang bisa bisanya sebesar bca bikin aplikasi sampah kek gini solusi cari di gugel yg versi  trus matiin auto update di play store saya ga akan update app atau bintang saya sampe aplikasi sampah ini balik kayak dulu lagi,5,2
ok,5,2
setelah di update ga bisa hapus inbok transaksi transfer,1,0
sangat memuaskan layanan dari bank bca,5,2
payah sekarang ganti perangkat harus kyc mana eror terus lagi mau akses akun sendiri aja susah betol,1,0
bca mobile ya gk bisa melakukan transaksi antar rekening maupun ke rekening lain dah  minggu gk bisa di gunakan tolong di perbaiki pa,5,2
sangat membantu,5,2
whoever revamped their introductory screen needs to be fired insane how the terms and conditions check box are somehow binary that cancels each other out locking u out from even using the app in the first place absolutely embarrassing,1,0
ini otp ga masuk masuk heran dah habis ribu pulsa ini di perbaikilah tolol amat pegawai nya,1,0
update ko  hari sekali udah kaya minum obat,3,1
sangat bagus pelayanan bca,5,2
ok bgt,5,2
saya kasih bintang  buat verifikasi wajah aja susah sekarang apk jelek semenjak update apk bca jelek sekarang semenjak update ,1,0
nice,5,2
susah sekali sekarang klw ganti device vermuknya bikin jengkel,1,0
bca is the best,5,2
ini bca knpa sih ko akun bca gw ilang anjg mna ada duit nya woy tolong jelaskan tidak bertanggung jawab banget nih pihak bca,1,0
update terbaru malah susuah buwat loging sampe pulsa habis buwat smsgimana ini pelayan bca mobile,2,0
masih forceclose udh padahal sdh instal versi terbaru,1,0
saya tidak bisa transfer qris asalnya bisa sekarang gak bisa gimana ini kak,1,0
sangat membantu buat transaksi,5,2
kenapa bca gak bisa di buka terus ya transaksi tidak dpt di proses  ,1,0
maaph ya bang kenapa setelah saya update malah tidak bisa dibuka,1,0
bca mobile sampahaplikasi sangat buruk masa mau masuk sering di suruh verifikasi ulang muludasar aplikasi sampah,1,0
buka rekening online udah video call di reject x  punya otak gak cs kalian itu reject pertama beda sop dengan reject ke  mau lanjut bikin ke  gak bisa bca payah,1,0
sangat membantu,5,2
engga jelas disuruh update malah engga bisa masuk sengaja pke mbanking biar mempermudah malah dipersulit,1,0
sangat puas,5,2
mantap,5,2
kak untuk kartu debit saya gimana ya apa bisa dikirim kerumah terimakasih,5,2
buruk mau buka rekening foto ktp blur dikit ga bisa dipersulit pdhl bank lain bisa sdh bisa daftar mau login app g bisa lagi pulsa abis banyak,1,0
pokoknya makin okee,5,2
nagus,5,2
g bsa di buka apk,1,0
ini aplikasi bca semakin ribet  saya ganti hp download baru bca mobile pas foto diri selalu error  jgn bikin ribet dong aplikasi dulu lebih gampang ribet ribet ribet gk jelas  trus kalau gagal jgn nunggu smp  x  jam dong kelamaan  ampun dah,1,0
ini gimana udah di update malah gabisa login solusi nya gimana,2,0
sehabis update login diminta menunggu lalu timbul notif koneksi internet anda terputus padahal koneksi tidak bermasalah  applikasi lain tidak tidak ada kendala koneksi internet,1,0
sangat bagus,5,2
oke,5,2
oke,5,2
kecewa sekali kenapa sekarang selalu verivikasi data terusmenyusahkan saja,1,0
ok,5,2
setelah update versi  jadi ga bisa masuk aplikasi selalu force close blank hitam aktivasi selalu gagal jangan paksa untuk force update saya lebih nyaman dengan versi sebelumnya semoga segera di perbaiki terima kasih,1,0
bintang ,5,2
android lolipop gk bisa download,1,0
bagus bank bca,5,2
tidak worth it dipake saldo dibekukan tanpa pemberitahun komplen cuma suruh nunggu sampe  tahun gak ada kabar se enaknya mengambil tindakan,1,0
good app simple sekali,5,2
aplikasi tidak bisa dibuka sudah hapus data uninstall instal lagi nihil,2,0
ini mbca eror kenapa yah mau cek saldo masa gak bisa harus hubungi halo bca dulu,1,0
mengapa akhir ini sering eror ya,4,2
aplikasi moho di bnrkan lagi bayar pake qris gagal tapu di potong saldonya udah gitu ga ada riwayat di inbox fitus qrisnya di mutasinya ada aneh pembayarannya sering kaya gini minta tanggung jawabnya,1,0
oke,5,2
good job,5,2
setelah dcoba ternyata hapus daftar transaksi di inbox sdh tidak bisa,3,1
no udh terdaftar dan ad pulsakuota juga ad kenapa pas coba masukin di digit no atm dan udh krim sms loading lama dan ujungnya gk bisa di proses udh brpa x coba pdhal atmno hp udh ter registrasi di mbanking bca ,1,0
susah login ga dapat dapat otp,1,0
habis upgrade malah gk bisa buat transaksi no tujuan gk terdaftar terussaya tanya yg punya no rek yg mau saya tf katanya aktifini gmn tolong segera di perbaiki lagi,2,0
sudah saya matikan aksesibilitastalback tp tetap gk bisasampek kapan bisa normal kembaliharus wira wiri ke mesin atm,5,2
sudah  hari kartu atm saya belum saya terima sementara saldo saya sudah di potong mau cek status pengiriman susah bagaimana ini,1,0
belum bisa masuk langsung nutup sendiri padahal baru update,5,2
,5,2
senang,5,2
dimohon untuk tidak merubah tampilan suka bca yg kaya gini jangan canggih tampilannya ,5,2
untuk bca kenapa ketika saya ingin membuat akun baru kok tidak dapat kode otp,1,0
kok bisa sukses transfer uang ke ewallet dengan nomor tujuan salah,1,0
bca balikin saldo  kuu ini apps resmi atau bukan sih saldo ribu aja hilang gimana mau percaya buat ngisi saldo lebih dari ribu,1,0
nice,5,2
semenjak di perbarui malah tambah parah aku transfer malah udah kepotong dan ga kekirim kepemilikannya tapi di mutasi udah ada datanya giliran di qris ga ada datanya parah sih sekarang,2,0
eumm ga akan ngomongin pokonya ada mobile bca yes,5,2
luar biasa,5,2
payah banget bank bca saya ngirim melalui qris uang terpotong tapi duit ga masuk ke yang dituju payah payah tolong perbaiki duit orang di ambil,1,0
aplikasi sangat bagus sekali memudahkan kita untuk keperluan keuangan ya di bank bca,5,2
halo kenapa saldo saya hilang  ribu,1,0
jadi tidak bisa kebuka aplikasinya,1,0
update apk g bs,5,2
akhirnya di versi terakhir sudah tidak harus menonaktifkan accessibility service balik ke bintang  ,5,2
hari ini saya tf lewat qris di info mutasi keluar sudah berhasil dan saldo terpotongtetapi uang tidak masuk ke rekening penerimabagaimana ini,1,0
beribu kali masuk aplikasi gak bisa terussemakin parah aja pelayanannya,1,0
ajg bbi ngtot krusial gini butuh mbanking malah sms gagal loginpulsa d sedotajg kalau pulsa dsedot ya harus nya bisa login lah bos,1,0
makin update makin parah,1,0
proses tranfer via qris uang suda terpotong sedangkn bukti inbox g dikeluarin di cek rek penerima g masuk gimna ini mohon bantuanya,2,0
aplikasi tidak dapat digunakan setelah update terakhir v langsung keluar dan muncul system erroran error occurred update  nov  stlh ada force update mybca dan khawatir masalah yg sama dgn mbca sy coba cek setting accessibility ternyata ada option advanced setting texttospeech dan opsi speak out password fitur ini dimatikan lalu saat pakai mybca dan reinstall mbca dua nya sdh dapat dipakai tanpa masalah,3,1
sudah repot ke atm tinggal daftar malah ngabisin pulsa gagal verif terus mending tiadakan aja mbankingnya,1,0
sungguh dan sungguh parah saya menyesal update update terbaru gak bisa edit untuk hapus riwayat transfertransaksi  dulu bisa karna ada edit riwayat transfertransaksi ini sangat sangat menyesal update versi terbaru ,1,0
ok,5,2
anjir suruh registrasi ulang data tidak sesuai lu kira registrasi kaga pake pulsa  makin lama makin ribet aja payah,5,2
bagus,5,2
sejauh ini masih bagus,5,2
mantab,5,2
aplikasi apa apaan ini aku mencoba bayar tagihan dengan aplikasi ini saldo terpotong tapi pihak tagihan belom menerima dana bank swasta no  di indonesia tapi aplikasinya sangat buruk bangetsialan ,1,0
sangat membantu,5,2
good but too damn long to fix what you broke fire those who are responsible for this accessibility mess you made yourself a trouble dont fix if its not broken,1,0
ini kenapa virtual account error,1,0
sebaiknya ada splash screen jika di awal loading nya cukup lama jangan menampilkan layar hitam saja karena aplikasi jadinya terlihat seperti freezing jika tanpa splash screen previous  terimakasih sekarang untuk informasi transaksi sudah ditambahkan tahun previous  untuk semua informasi transaksi yang disimpan dalam inbox mohon ditambahkan tahun juga jangan hanya tanggal dan bulan saja contohnya jadi seperti ini mtransfer berhasil  atau  ,5,2
makin tololqris tidak terbayar tapi saldo kepotongsudah  bulan belom di kembaliinehh kejadian lagi ke ulangemang sengaja kali yaa,1,0
untuk cs terlalu berbelit belit tidak seperti aplikasi oren tinggal kirim bukti ss sama mutasi dah beres dana di kembalikan ini ribet suruh telpon ini itu kirim email juga ga bisa masukan kode segala macem hasilnya nihil tingkatkan lagi,3,1
eh kocak ini aplksi setelah di updte ga bs kebuka sm sekali sih fix dong bug nya udh brp hari nih blm di perbaikin jg,1,0
good,5,2
the app requiring authentication through sms if there is change with your sim cards and its always takes phone credits to do so,1,0
pelayanan tidak memuaskan masa agent nya nanya dengan bapak siapa saya bicara udah tak kasih tau namanya keluhan apa bpak keluhan bca id ke blokir bisa sebutkan nomer kartu rekening bapak pas nyebutin nomor kartu rekening mlah halo apakah bapak masih terhubung sampe  kali kek gtu masa iya minya no rekening di sebutin bisa saya ga ada suara pdhal suara lantang sinyal bagu,1,0
jelek,1,0
saya suka aplikasi per bank sudah menggunakan verifikasi wajahmohon tingkatan keamanan,5,2
best,5,2
kenapa saya ga bisa send,1,0
good apps,5,2
bagus sekali,5,2
good jobs ,5,2
aplikasi burik pulza saya hbs buat verifiksisdh d sms blik lg ke apk awal lg,1,0
mo crita kl apliasi sering nge frees tp jawab nya suruh pakai veris terbaru lalu coba lagi yg jawab mesin ya kl yg jawab hanya mesin mending gk ush di blz dh kamu ini butuh jawaban manusiaaoperatorcs perusahan besar apa tidak bisa yg jawab kkomen itu manusia apa ,1,0
nabung nabung udah ngirit tapi saldo ngga nambah sih,5,2
data sim tidak sesuai padahal kartu digunakan sesuai kalo gini terus pulsa saya habis buat login doang,1,0
puas,5,2
tidak dapat dibuka ketika klik mbca langsung tertutup device rog asus phone  sudah dilakukan hal demikian hingga uninstall lalu install ulang restart device tapi tetap sama,5,2
simple,5,2
simple easy to use safe,5,2
kenapa d hp saya gk bisa download padahal memori masih banyak,4,2
terimakasih ,5,2
tolong kasih fitur transfer valas ke bank luar negeri seperti di aplikasi my bca,3,1
make life easiee,5,2
yingkat keamanan bca memang tiada duanya cuman uinya dong di buat lebih menarik,5,2
kenapa nggak bisa di update ya,4,2
aksesibilitas nya ga usah di ikut sertakan kemarin baik baik aja setelah update malah susah login ribet harus matiin sistem aksesbilitas ini itu hmm alhamdulillah sekarang sudah di atasi terimakasih min keluh kesah pengguna di dengerin kritik i i bersifat membangun kok,5,2
kuntull ngirim sms ke nomor lain lancar lancar aja kenapa pas verifikasi dari bcamobile kok gagal teruss buat kesal aja ga bisa kasi attachment lagii,3,1
terbaik,5,2
kenapa setiap vidio call saya selalu ditolak sama customer service nyapadahal saya hanya ingin membuka rek doang tapi kenapa respon nya seprti itu bukan sekali  kali loh bahkan lebihtolong respon nya diperbaiki,1,0
alhamdulillah tidak pernah ada kendala xiaomi redmi t bca adalah bank swasta terbaik di indonesia jarang eror pelayanan mntapp,5,2
pelayanan nya sangat ramah banget,5,2
awesome,5,2
ribet,1,0
mantep banget bca update terus yaa sukses terus pokoknya bca  jangan sampai mengecewakan customer mu ,5,2
sekarang pelayanannya sangat buruk langsung ganti dgn bank yg lain buang waktu doang,1,0
gimana ini aplikasinya gak bisa dibukamalah ngeblang banyak eroregk bisa masukmohon segera diperbaikisaya gk bisa transaksi kalau ngeblank gini,1,0
kode otp nya gak masuk masuk sampai pulsa habis banyak udh  kli bikin atm bca tetap aja gk bisa bca mobile krna kode otp nya gk masuk masuk,1,0
pembaharuan terooss padahal baru  hari yg lalu di update hari ini minta update lagi,2,0
kiw,5,2
mantap,5,2
karna sudah kembali lg bisa pakai tanpa harus matiin accessibility saya edit lg jadi bintang  terima kasih,5,2
aplikasi mantab,5,2
mau login gak bisa centang kolom persetujuannya ini udah pake cara apapun tetep susah apk cacat,1,0
good ,5,2
mntep,5,2
good,5,2
thank you bca mobile,5,2
mantapp ,5,2
untuk saat ini aman² saja,5,2
gak kecewa,5,2
ini gimana si gw mau login bca mobile pesan aktivasi udh di kirim tpi interfacenya gk berubah tetep di masukan nomor kartu aplikasi ga jelas ngabisin pulsa gw rb buat login berkalikali tetep gabisa,1,0
sudah tidak perlu mematikan fitur aksesibilitas jadi saya tetap jadi nasabah bca,5,2
bugs accesibility masi ada ni,1,0
aplikasi payaahh pulsa sudah ada sampai pulsa habis tetep ga dapet kode otp sumpah pengen ganti kartu atm aja,1,0
udah fixed,5,2
sejak pertama aku punya rekening sudah ku coba bank lain hanya bca yg ku suka  sukses bersama bca indonesia harus bangga memiliki bca,5,2
good,5,2
setelah di update malah error,3,1
udh di perbarui knp eror gk bisa di buka hadehh gmn ni,1,0
bca sensitif banget kopet pulsa habis di makan,1,0
ini bca gmn ya ms sy naruh uang ga aman bln kmrn hlg rb bln ini mlh rb tnp ada notifikasi pdhal admin sdh lgs dipotong bln yg llu ada transferan dr dana rb jg ga msk khan aneh  ms sy naruh bs hlg mending naruh dirmh donk,2,0
sangat membantu,5,2
makasi bca mobil bangking bersamamu kami sangat puas karna pelayanannya yg begitu prima tanpa mengenal lelahdan tdk membedakan yg kaya dan yg miskinpelayanan ttp sama,5,2
applause for the new update sekrng bisa pakai tanpa matiin aksesibilitas good job ,5,2
aplikasi selalu tertutup ketika ada aplikasi dan aksesibilitas edit sekarang sudah bisa jadi balik ke bintang  lagi,5,2
good,5,2
sangat puas,5,2
bagus aku suka,5,2
hadapkan wajah ke kamera udah make lampu masih aja ngga bisa payah,3,1
banyak telepon penipu mengatas namakan bca,4,2
lebih gampang walau lg di empang,5,2
bca yg sekarang buruk sekali,1,0
susah banget mau masuk akun nyangabisin pulsa doang njnk,1,0
ngfrezee setelah di update,4,2
sangat membatu ada nya bca mobile semua urusan jadi mudah,5,2
update baru punya banyak masalah yangsettings hp android di accessability di membaikin ya terimakasih,1,0
bagus,5,2
mantap,5,2
setiap komplain ditanggapi dengan baik,5,2
ini kenapa ya abis update kok ngfreess ginii tolong dong di perbaiki,1,0
sangan bagus,5,2
habis update tidak bisa digunakan black screen tolong bantuan dan perbaikannya masih gak bisa dibuka per tanggal  november  sampai sekarang dari awal update bulan kemarin sampe sekarang gak bisa dibuka tetep busuk walaupun sudah mengikuti berbagai cara udah gak guna langsung urus ke kantornya aja biar gak buang waktu ruwet,1,0
semenjak update malah sering error bug padahal sinyal internet bagus,1,0
apk hewan eror di tinggal keluar apk kesalahan koneksi ngulang sms terus,1,0
kerja,5,2
sebel bgt dulu bisa hapus inbox sekarang g bs mana ada caranya ribet lagi kembalikan settingan yg dulu baru kuganti ratingnya kecewa bgt,1,0
oto gk masuk masuk,5,2
,1,0
semuanya menjadi mudah,5,2
ganti hp verifikasi susah ktp data  foto sudah jelas sesuai mungkin pihak staf verifikasi yg malas kerja jadi susah harus datang ke bank yg gak efisiensi  sudah di jelasin kendalanya masih tanya kendala  hari berturutturut belasan kali coba verifikasi tetap saja gak bs suruh ulang terus kan kelihatan situ yg berkendala,1,0
ini di update kenapa jadi error,5,2
pengajuan refund dan telpon ke  terlalu lama dan hasilnya belom selesai pulsa udah habis terus mohon di evaluasi lgi untuk pelayanan nya di persingkat,2,0
lebih suka mbca,5,2
kenapa sekarangsekarang ini jadi susah kalo transaksi pake mbca lampu indikator auto biru kalo mau transaksi ketika blik ke menu home baru nyala ijo padahal untuk menu aksesibilitas udah mati,1,0
kasi keterangan nomor rekening orang yg di tf di mutasi ini bingung skrg rekening yg mna saya kirim soalnya  atas nama org bisa punya bnyak rekening,2,0
bagus,5,2
top,5,2
mudah dan aman,5,2
sering warna biru lampu indikator malah kadang merah padahal sinyal ok,3,1
tidak bisa kirim sms verifikasi padahal pulsa penuh sinyal bagus dan posisi sim  juga udah benar,5,2
mempermudah hidup,5,2
admin tanggap ,5,2
memudahkan pelanggan,4,2
good,5,2
saya udah sebulan g buka mobile bca buka karna mau tf ke virtual account eh malah force close ku update lah sama aja restart sama aja lihat youtube katanya aksesibilitas dimatiin sama izin pengguna semua dimatiin juga udah sama aja pdhl lagi butuh banget duitnya  kendalan bca mobile bikin rencana saya runyam orang ini pada bilang udah bisa tp di saya belum bisa gmn nih min perlu banget transaksi ,1,0
ok ,5,2
was a great app after update it crashed and was unusable i did everything cs suggested here in other reviews but thats not ok it should be solved by development at bca  when updating the apps software test it before put it on playstore  your it or developers are amateurs i downloaded an older version of mobile bca and registered again now works as it should no update for me ,2,0
biaya admin terlalu cepat masa baru  hari uang udh di ambil buat bayar admin,1,0
kesel bnget tf ke dana gangguan habis itu duitnya hangus aplikasi pea emang kesel gw,1,0
sering error,2,0
makin kesini makin gak jelas ni mbca di klik overclos kecewa dengan apk ini padahal ini perusahaan besar tapi ko di bikin pelanggan kecewa,1,0
terimakasih sudah memperbaiki aplikasi sehingga memudahkan kt dlm bertransaksi setelah sekian lama drama for close,5,2
membantu transaksi good oke,5,2
bagus,5,2
bca makin kesini makin ribet ya buat aktivasi aplikasi mbanking ny kalau aplikasi ke uninstal apalagi buat daftar mybca ny,2,0
tolol malah g bisa di buka abis update,1,0
joh uasu,1,0
puas,5,2
dianaanakia sarabayasakit sai,1,0
ok,5,2
sampah gangguan terus,1,0
gimana ini bca  setelah update jadi banyak sekali trouble  bug terjadi  indikator signal merah  padahal sinyal baikbaik saja tolong di tangani dengan serius ,1,0
cma pengiriman dari saudi lama nyampe nya dri saudi udh di tf bca tpi blm nyampe udh  hari,5,2
malah kartu bca mobile ke blokir padahal pin udah benar kocak kocak,1,0
m bengking ga guna,1,0
sangat bagus ga kaya bri ribet,5,2
laporan mutasi rekeningnya aneh dari tanggal yang baru di atas ke yang lama dibawah lebih mudsh dimengerti yang bca lewat internet cuma repotnya kemanamana harus bawa² alat key bca nya itu padahal bank² lain bisa dengan cara lain misal otp melalui nomor hp terfaftar benar² kuno ,3,1
sudah saya coba untuk versi yg terbaru masi sama nge blank dan hasilnya zonktidak ada perubahan tolong di perbaiki kembali,1,0
apliksi luar biasa,5,2
kenapa sekarang edit message gak ada pingin di bersihin jadi tidak bisa kecewa,1,0
apakah sedang eror min dengan kode ,3,1
saya bekerja diluar sering kluar secara tiba dr aplikasi dan dsuruh ngulang tpi otp gak masukalah kpotong pulsa saja ini bukan satu dia kali malah sering jika bisa saran bisa kah memakai opsi email otp nya,4,2
ini kenapa setiap hari verifikasi ulang bca mobile sim card tidak sesuai terus padahal sudah benar ,1,0
giliran di update sama sekali ga bisa d klik aplikasinya sama sekali ga mau kebukaudah non aktifkan aksesbilitas padahal,2,0
nice,5,2
tambahin fitur fingerprint please biar lebih aman,3,1
saya sudah  hari gak bisa pakai aplikasi sampai sudah saya hapus terus instal lagi tiap mau login selalu lampu warna merah ataupun login selalu periksa koneksi padahal pakai wifi,5,2
mantab,5,2
ffs tolong lah kalau mau update bener bener diuji lagi aplikasi ga bisa dibuka setelah update kemarin update sekarang sama ga bisa dipake sama sekali,1,0
mantap,5,2
update baru tetap masih ada bug aplikasi tidak bisa dibuka solusi sementara saya hanya bisa uninstall dan install lagi tapi setelah reboot ulang device setelahnya problemnya muncul lagi dan ngulang lagi dari awal please fix this,1,0
sejak kalian mengharuskan aksesibilitas di hp harus dimatikan saya jadi tidak bisa akses rekening saya padahal semua fitur yang berhubungan dengan aksesibilitas sudah dimatikan saya mulai tidak percaya dengan bca,1,0
kembalikan fitur hapus riwayat transfer antar rekening,1,0
eror tidak bisa masuk dari kemarin kok bisa log out sendiri mau masuk lagi tidak bisa,4,2
bca mobile pengaturan nya ribett banget kenapa ngak kayak bri mobile transaksi apapun mudahkalau bca mobile itu mau di pakek itu ribet ngak nyamansalah kenak blokirpokoknya ngak membantu bgt sekali buka harus meres otakyg paling sederhana yaaku mau ngisi pulsa di bca mobile itu ngak taukalau di bri mobile tinggal milih aja mau transaksi apa ngak ribet mulus di perbaiki lahkita pakai bca mobile biar mudah kan makasih,2,0
sekarang sementara transaksi tidak dapat diproses kenapa ya aplikasi ini tiap bulan pasti ada kendala,1,0
sekelas bca masih bisa error aneh gua kirim sms malah gajelas gagal terkirim mulu padahal pulsa ada,1,0
sangat puas dgn aplikasi mobile banking bca,5,2
kok sekarang bca ribet ya minta kode otp padahal no nya udh bener tp otp nya ga masuk sudah untuk di akses padahal dulu ga seribet ini,1,0
ini kenapa ya dibuka aplikasi langsung force closekalo ngga gt ngblank putih doang,1,0
bca is the best ,4,2
aplikasi nya simple sih tapi kenapa gak bisa transfer antar negara yah  tolong dong developers nya minta update biar bs transfer antar negara juga itu aja sih masukanya sukses selalu,5,2
baik,5,2
ok,5,2
⁰⁶,5,2
sangat mendukung aplikasi ya,5,2
terima kasih atas penjelasannya aplikasi sudah bisa digunakan kembali,5,2
lumayan,5,2
alasan ga pakai n tutup bca lg selama thn terakhir bca itu bank ribet yg udah tua nutup akun krn app ini yg salah tdk memproses pin atm saya dng benar dan diminta telpon lah diminta datang ke kantor lah intinya klo ada masalah dng akun bca itu akan buang duit banyak utk telepon sampe datang ke kantor butuh duit transport jgscr layanan customer ini bank tdk mengikuti perkembangan jamanga mikir nawari solusi berbasis vcmsh aja cara lama dberikan ke customerbca memang boring banking,1,0
apaan si ini aplikasi bca diturunin versi aplikasi minta update giliran di update mbanking ngga bisa dibuka giliran cek ulasan aplikasi suruh nonaktif fitur aksebelitas giliran di cek fitur aksesibilitas udah pada nonakti masih aja ngga bisa kebuka ini mau bagaimana untuk transaksi,2,0
terima kasih sudah perbaiki aplikasinya,5,2
ini kenapa saya gak bisa verifikasi dah udah abis pulsa rb malah dibilang koneksi terputus,1,0
force close terus,1,0
gimana sih ini mau login udh abis pulsa sampe rbu ga bisa masuk  tulisan nya tidak dapat di proses parah ,3,1
jangan eror mulu huu,5,2
pulsa  rb buat registrasi gagal habis anjir,1,0
ok,4,2
ini kenapa susah login sih udh bener semua juga ngabisin pulsa asu,1,0
sangat memudahkan transaksi,5,2
kenapa makin diupdate makin gak bener ini bca mobilekadang maintaince lama malah eror,1,0
tingkat kan security dan chek secara berkala saya mau badar judol yang menyengsarakan itu d hukum,5,2
memudahkan semuanya,5,2
